mass_pair_id,sample_id,comment,substrate,detection,association,peak_height,peak_widthpeak_area,peak_position,timestep_01,timestep_02,timestep_03,timestep_04,timestep_05,timestep_06,timestep_07,timestep_08,timestep_09,timestep_10,timestep_11,timestep_12,timestep_13,timestep_14,timestep_15,timestep_16,timestep_17,timestep_18,timestep_19,timestep_20,timestep_21,timestep_22,timestep_23
0,31458,None,CB4,[13],[10],332.0204115574528,2.8382939385124253,1064.0274068635574,0.0,0.0,1.7115361376200775e-07,3.266817468561846e-08,4.994088195284485e-08,0.0,0.0,3.025086803831822e-06,0.0,0.0,3.776960226742876e-07,0.0003304748912833909,2.085784978799644e-06,0.0,0.0,0.0002755757048188758,0.00020721216756750118,1.6680728672556378e-06,2.699784255407065e-06,0.0,0.0,0.0,4.816211158359244e-07
1,31458,None,CB4,[13],[5],222688.3670745542,8.779718279652553,1464288.477332735,0.0,0.00024704118903190263,0.0007624425757162757,0.002518324102879925,0.008241144124974807,0.02304078348099473,0.05498299301989517,0.11533486645134047,0.07927456088795798,0.10231732680547334,0.07832463620713975,0.07632879159284227,0.05023350541915238,0.04931522398177019,0.03705798386910495,0.03376828549298989,0.030556592217868783,0.027697907212723916,0.02261573162097508,0.021808817779129065,0.020270363918406923,0.022863501449475767,0.015116201650016085
2,31458,None,CB4,[13],[4],11015.953489725822,16.0499695923859,95556.57778616753,0.0,0.0,0.0,8.296428124023104e-06,9.033676790749196e-05,0.0006313149650636713,0.002227510293402727,0.005160485041988628,0.005975600840754455,0.005748989339311456,0.006202863937130552,0.0059891171107668935,0.0035448798346033785,0.002829866469705868,0.003004257392182025,0.0046671085851879845,0.0029911477511297482,0.0036081163351417765,0.004640417970838709,0.0023707091542264132,0.004121717536875383,0.003000492883817932,0.002601692393905446
3,31458,None,CB4,[13],[10],2008.1146956102803,3.441661929573952,18546.392713533958,0.0,0.0,0.0,1.1477159566896397e-07,2.767616202337424e-05,0.00016514687426465725,0.0006997574311161715,0.0007538737248710278,0.00022885106597979652,2.1840539590901157e-05,0.000745989403226255,0.0002564764363795005,0.0008667872473593687,0.0004849516478293155,0.0007730604400595721,0.0012271485578129121,0.0006892624743645833,0.0011582093424864362,0.0006889902668227048,0.0009061716030548558,0.00032842594407189133,0.0016348072919792564,0.0012034395769170358
4,31458,None,CB4,[13],[10],860.689433425402,2.731690566818383,4139.22447447585,0.0,0.0,0.0,0.0,0.0,8.065494297665064e-05,7.167237440036232e-05,0.0,0.0,0.0004323093563688879,0.0,0.00011033012677990694,0.0,0.0,0.0,0.00024005727704332858,0.0,0.0007235444268233672,0.0,0.0,6.399818284483185e-07,0.0004510633738743983,0.0009363781947555749
5,31458,None,CB4,[13],[5],38894.78587215177,8.217767722555767,244440.01372505914,0.0,1.5358777701833214e-05,4.782396951527982e-05,0.0003744641891149375,0.0016753601674144034,0.004321830005154433,0.008882420255082247,0.020902423760966158,0.013529209306544098,0.012890079283966141,0.015216276091169403,0.01169910364174219,0.00877164319332923,0.006115015723543106,0.0064078167674818266,0.008484626496938524,0.005862048760409311,0.0029125087760204947,0.0027698078927141873,0.002589208054893744,0.002641529723897184,0.003983073353148974,0.0032956321543881778
6,31458,None,CB4,[13],[5],9615.489755874734,9.484598320957584,68246.2021592876,0.0,0.0,2.8746729294715115e-05,0.00012256243060200636,0.0005351260243217518,0.0006964339817683415,0.0030754470003301745,0.003460669285431091,0.003746752757712836,0.004058231481620578,0.002074188958286215,0.0032594409194023084,0.003812193445775741,0.0010250309255937676,0.0016031885389040245,0.001348290508235868,0.001353549526294843,0.0029347135436540175,0.0011125483390970305,0.0018617206743824887,0.0016793993381782391,0.0008715071313959699,0.0012550660043730733
7,31458,None,CB4,[13],[19],4838.68213100816,15.797302787008416,46285.41444565154,0.0,0.0,1.8565534305120837e-05,1.1403857583510215e-05,0.00011309251116984474,0.000269387562350397,0.0007790113497454456,0.0021457147444691304,0.0011690283905186052,0.0035657331882428746,0.0021900743236257765,0.0024643643723347777,0.00264918003422561,0.0019497108274228883,0.0025904334896134605,0.0017459213545621278,0.0012992544640648036,0.0014185214569182438,0.0027012317791074753,0.002852389084754246,0.0011195895099153003,0.0008063679155514095,0.0008885445199920031
8,31458,None,CB4,[13],[19],1534.4198126350816,5.758771428658985,6976.139744779721,0.0,1.3526364843258468e-06,0.0,5.532069355417782e-06,5.6554927530289674e-06,2.0050387778827325e-07,0.00011544006865152604,0.0003509356905190146,0.0009075515619336124,0.00018804175635681532,0.0013984222652104956,0.00090251565232146,5.214463824144578e-07,0.0005425675400516308,0.0002054422467286479,0.0001983660175730164,0.00024011807630130853,4.0042662956700246e-05,8.909004756281151e-05,5.198441948735565e-05,4.252178973748984e-06,3.0274085051122055e-06,3.060934855920944e-05
9,31458,None,CB4,[13],[9],276.2596874292036,4.039256768710175,745.3090107470931,0.0,0.0,0.0,1.6003774535836613e-05,0.0,6.091015435232362e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019639569862932272,0.0,0.0,0.0,0.0
10,31458,None,CB4,[13],[9],6836.583844277024,6.4312621722787675,39562.0906967719,0.0,0.0,1.0602730211121557e-05,4.887337343322048e-05,0.00011713815681304038,0.00045829620902303783,0.0022221996342392165,0.0031354422475989374,0.00266381055520144,0.002838619971420623,0.003338569270851656,0.0007474128714350545,0.0012999260061868456,0.0006845101270561402,0.0009477708730525571,0.0018114644036999054,0.0005159264357460091,0.0006962656112500563,0.0010840867914150845,0.0006359352517665774,0.0005547188911811267,0.0002911549042968814,0.0007698309491581244
11,31458,None,CB4,[13],[4],771.6761714727675,5.804775728265213,5085.771612265418,0.0,9.002600780099368e-07,0.0,0.0,3.507057699585438e-05,0.0,0.00011552935647314766,0.00012563956388847658,0.00016999226802750275,0.00012569549603483855,0.0005578933146562923,0.0004055014303633044,0.00046964294303057625,0.0,0.0003212668444040572,6.636382471165867e-05,0.00019470710051290441,0.0,0.0004463618455188535,0.00013890054448647732,0.0003006589725877274,8.286838368623869e-05,6.095573591403459e-08
12,31458,None,CB4,[13],[12],138.11102273363747,2.488872256516647,268.95878214453097,0.0,3.3637095794314786e-07,0.0,4.840468625084068e-08,1.6992081692811036e-07,1.0528382956720556e-06,0.0,4.7755270384558125e-06,0.0,0.00020032639036704042,0.0,0.0,4.1206980601390886e-07,0.0,2.5277639995148916e-06,5.2834292654669505e-06,1.5876040749888746e-06,3.677542626620928e-06,0.0,0.0,4.569269833141239e-06,3.107763197092183e-06,1.7840441433119018e-07
13,31458,None,CB4,[13],[9],8.86559949263512,8.040110933954374,63.389902870135465,0.0,0.0,5.7388621144576686e-08,0.0,5.226957488426322e-07,2.2570019279762615e-07,1.243618466198064e-07,3.0619354919709026e-06,0.0,2.4598850687313426e-06,4.927008989247506e-06,1.887967099328523e-06,0.0,2.3054295804727373e-06,1.937164973604815e-06,1.055106786496964e-06,4.14066931245285e-06,3.1682783490754875e-06,3.578314275504436e-07,4.082627627559426e-06,2.353354213703741e-06,6.996256514833596e-06,5.396925355384521e-06
14,31458,None,CB4,[13],[12],123.74110040461338,2.5255509520803336,275.31405170957373,0.0,2.1766442109141775e-07,1.0778991834467349e-07,2.766401625565408e-07,9.70441253655241e-08,4.5167329475798083e-07,0.0,6.245506106508611e-06,2.7888906242379053e-06,4.746908668703545e-06,5.156822998575993e-06,2.5325043209268746e-06,2.8798050588387908e-06,0.00014290474294424233,5.943573244701546e-07,6.576541229027457e-07,2.6628450487433613e-06,1.9359201920688904e-06,5.1389422645498015e-06,4.708532991951017e-06,5.077539531752369e-06,4.2891671254902555e-06,3.020048470820359e-06
15,31458,None,CB4,[13],[12],104.75085278643262,2.5539326861214136,224.74914921852866,0.0,7.574718506031293e-07,3.0181179997851405e-07,1.413270570610532e-07,2.8091738154834973e-07,5.828036361751714e-08,1.6693751194110383e-06,5.673001340369795e-06,1.8669431715920964e-06,0.0,0.0,1.116480492861353e-06,2.4718328494461554e-06,9.003315895965367e-07,4.997005187286477e-06,2.3338710875824356e-06,2.7766418412457487e-06,2.113935285310236e-06,1.2787042756151008e-06,5.481214888256214e-06,6.214697486953052e-06,0.00014092681580579516,0.0
16,31458,None,CB4,[13],"[7, 8, 14]",4107588.3919448303,6.0451413274120105,32698765.96337251,0.0,0.10009406472779794,0.12429478726352608,0.14713830840927242,0.23199565327359523,0.30733599946107326,0.5537833319595783,1.0,1.0,0.9620879336151074,0.9896251280331594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
17,31458,None,CB4,[13],[16],239368.58152054934,15.461383383842847,2209822.045706688,0.0,0.0,0.0,0.0005083461212384914,0.001843300320131303,0.007529371324435665,0.02822838596104151,0.08019464316230855,0.07620750374773744,0.12315078755468693,0.13067301879563994,0.1224210552109108,0.12369541014180994,0.10696340958321911,0.11399937927026675,0.10315799248272456,0.09705766566341323,0.09289841193928691,0.09697896584554938,0.09122286910421117,0.08771697831355058,0.09177009626333223,0.07243991905472208
18,31458,None,CB4,[13],"[7, 8, 14]",193376.16600724874,16.542218013674436,1701997.9895873126,0.0,0.034366582766890065,0.0032360536960103718,0.006850848185586987,0.012398849272938594,0.01180033589196385,0.03398452310773336,0.09436865604362368,0.05634889938304251,0.060351805127405005,0.06125938096263563,0.06792358298660596,0.06544317696547862,0.06184579396949671,0.07397229253133966,0.04073890585659019,0.06419710607950731,0.054360046003971735,0.02926654784604871,0.021614316646082245,0.04039133042563044,0.01201846482260178,0.0
19,31458,None,CB4,[13],"[10, 18, 20]",616438.3371353131,16.59196994597205,5971327.2190005,0.0,0.0016594039472946373,0.0009986697788671897,0.002083910983885285,0.007900741385123786,0.02644609736645748,0.09428316366077495,0.24660864690625836,0.2310831764789849,0.2961317137091696,0.3517003101144077,0.32879369016831006,0.3091262936376411,0.2970871222980632,0.24033583533562566,0.2780835372961867,0.24149324209048909,0.21468894386039603,0.24087356955978942,0.23396647394015418,0.2588648635328353,0.23186604330094568,0.2405447678653531
20,31458,None,CB4,[13],"[3, 10, 18, 20]",1728761.3754781443,17.15885600988308,17352539.778076943,0.0,0.0061784061957632875,0.004516667178157044,0.009741295257884652,0.04039503172208843,0.15373065586621573,0.24249316706614593,0.7022267346013371,0.7457725562125701,1.0,1.0,0.9691997499873889,0.8429148975656823,0.7987366531177654,0.7474318461680758,0.7723433831349543,0.6796637934953755,0.6107582346063604,0.6284083253381956,0.5564031888013972,0.5997803652341789,0.5289616289109794,0.5039954959594514
21,31458,None,CB4,[13],"[11, 18]",17453.244363680344,16.449628647805632,159172.63741604995,0.0,2.2679012846702466e-05,3.789370186775669e-05,7.0633336730553e-05,0.00024945198158543905,0.0010657858869597585,0.0029324902023834887,0.006870782277307032,0.007517680050620979,0.011375916261382214,0.009908762521376213,0.008641008416870167,0.007941789839424857,0.0059388860963742315,0.007747687808348277,0.006894971699917456,0.005702039524888074,0.004556085843529823,0.00604835144043956,0.004624093908021406,0.004716680744391227,0.006215707978418124,0.0050974904787437604
22,31458,None,CB4,[13],"[0, 2, 10, 21]",42574.214672292735,17.6476320014719,444126.07742509857,0.0,0.0002698896510056023,0.00011217426652690123,0.0003245298306520514,0.0009204953008173431,0.0027258050630014543,0.008010431075842695,0.018419945589166785,0.016591060128486126,0.02652297048299948,0.02641216585144003,0.020210248854866504,0.02286413415970538,0.016850552087390436,0.01855413508524641,0.01831901310669939,0.01753851229295742,0.017426079904766675,0.016097818526134,0.016402492802426675,0.01495443873525088,0.01992352604454824,0.015448577528762006
23,31458,None,CB4,[13],"[0, 2, 10, 21]",39776.862752590045,17.013210533512513,383541.797812942,0.0,0.0,0.0,0.00021208980180900653,0.0008797655048584352,0.00332025225958335,0.006650433601566826,0.025802611506385617,0.017891941199332823,0.021504454185722513,0.021134373929639957,0.013890523933967464,0.017066628078766626,0.016460344437371044,0.013705037696347858,0.015900930630867317,0.014400664284612195,0.017231059782017385,0.010393509008485742,0.015088385560032636,0.0158667219301114,0.011237449592885902,0.00987892495114368
24,31458,None,CB4,[13],[17],39024.868870872546,17.42858558536261,392242.1252217342,0.0,0.0,0.0,0.00014808264180121223,0.0008119176887462137,0.0020509090500694907,0.005845434257156131,0.019650071704462903,0.012669054991445529,0.016896016268864545,0.02536173478862604,0.019388633482870715,0.020586304219285,0.013123072198412144,0.02198073358442298,0.016622125580289974,0.0163312922618681,0.01177652531192766,0.018301374784464516,0.014805535233614652,0.011720529859199824,0.01834863341795698,0.019219757734574978
