mass_pair_id,sample_id,comment,substrate,detection,association,peak_height,peak_widthpeak_area,peak_position,timestep_01,timestep_02,timestep_03,timestep_04,timestep_05,timestep_06,timestep_07,timestep_08,timestep_09,timestep_10,timestep_11,timestep_12,timestep_13,timestep_14,timestep_15,timestep_16,timestep_17,timestep_18,timestep_19,timestep_20,timestep_21,timestep_22,timestep_23
0,33091,Positive Control,None,"[21, 0, 18, 4]",[10],277.78466565392847,2.459586621052587,927.9964818533358,0.0,0.0,0.0,68.94158695362228,0.0,0.0,0.0,0.0,0.0,696.2807466130198,0.0,0.0,0.0,59.843957983417226,0.0,596.0072957380319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,33091,Positive Control,None,"[21, 0, 18, 4]",[5],10211.263845378991,13.111998462443388,89267.09321968428,0.0,1653.0481310640828,0.0,6969.218915446421,9661.447944383943,12381.587328021446,8870.095505017913,6587.254952077115,12293.31929178988,7272.293114222837,10393.580960391613,10418.983099948155,7156.255341776301,7324.091852595297,3341.3246011198235,9100.156582092972,4175.135275337134,2270.7134968832643,5869.35491206137,2449.106627646457,3893.536269155781,3237.0409072704533,2186.8509223595092
2,33091,Positive Control,None,"[21, 0, 18, 4]",[4],1372199.4634445366,16.253256196106708,13095850.213076489,0.0,11652.921992492677,18286.560336875915,56176.45067863464,192270.93456516266,619524.4524881362,984533.9532693862,1144228.2858865738,1359267.1315896988,1436446.0892068862,1462881.7065896988,803211.8286600113,1463527.6052225113,1362722.9479959488,1280575.7772928237,1241680.1284646988,1175044.2034646987,1119143.9024881362,997858.5323709487,943459.0639139175,916332.9104959487,849973.3931131363,791795.4622537612
3,33091,Positive Control,None,"[21, 0, 18, 4]",[10],4181.028173733141,13.668135325853873,43618.55552327037,0.0,2511.2811703969196,4459.877567521061,5032.121062313217,2929.9321097868037,4377.362343110234,2948.6464699320045,2837.806033398732,2928.926561654332,4347.33726538233,1611.9433876864882,1722.504395818136,5862.121074354793,996.2553130919675,3749.5325504900466,250.42131594002973,2796.352296427072,2152.2660020575468,1115.0791944940406,4364.543644365058,5732.990996762931,1382.200103575925,3402.575409395149
4,33091,Positive Control,None,"[21, 0, 18, 4]",[10],221.34953449400507,3.93718376729635,687.3072095015066,0.0,9.616946423053832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.10424367189404,0.0,518.9703704953195,0.0,0.0,291.57148047685627,0.0,0.0,0.0,0.0,0.0
5,33091,Positive Control,None,"[21, 0, 18, 4]",[5],24637.160019354586,11.08063646631879,197267.0137979148,0.0,295.7272017832552,9770.150808505798,17556.03577285938,17929.486182480716,22386.654400343305,27259.37079423197,25271.747339227226,19717.70838182428,25905.037516476063,27678.334671363402,20050.487701630325,15086.390016962972,17809.899111715597,7786.475970064656,9234.565647468138,6968.404719256283,10083.15719844518,7547.533788531014,3720.0761733322997,4394.900070597616,3914.079008038124,3106.0493442663983
6,33091,Positive Control,None,"[21, 0, 18, 4]",[5],1215.2357052667182,2.9636148219866794,6685.4113565148045,0.0,796.8020303307511,0.0,2.113768042587708,1224.1752075567479,819.0404376518436,338.772650183701,0.0,1.4796360294993747,596.3566347447838,380.44045722775354,2589.534623681045,238.3281236974206,4.2275347825957965,0.0,5.054585805753476,406.9539185500727,1149.225945449457,1175.54557335086,366.3062669707508,0.0,4.914509656952703,227.7337942356017
7,33091,Positive Control,None,"[21, 0, 18, 4]",[19],2148.414842723888,5.323038922220409,19466.47394737451,0.0,165.3061593138142,5.189169236171409,855.6963557490595,1786.843862745497,1872.676148026078,2181.9774825484665,1973.5373039716555,1680.6652639412587,1634.078638371126,1027.1895476918162,2714.2201021924434,592.2253817334587,1679.1239217122397,1255.9067520329982,1060.921076645086,459.23261496461464,2029.0201048674408,1696.847086965302,2354.2285904119044,2838.6499786376953,0.43742965180206284,0.0
8,33091,Positive Control,None,"[21, 0, 18, 4]",[19],232993.75091505778,10.649942583467189,1727799.8363006948,0.0,12411.018958056415,98917.96509274142,143142.77696717816,200286.67180435744,223995.31466467585,221516.2496473524,243327.884586605,235770.43802689915,211542.74578895097,186617.4311423596,151731.34510690195,153213.09832725994,113366.02388226545,97603.18627439899,82977.64872798214,63854.04459726074,55523.848682921605,41135.101758580146,46066.806346563644,28592.05275019893,21735.82337913984,23894.939613813236
9,33091,Positive Control,None,"[21, 0, 18, 4]",[9],44.050289864977884,2.469920128499938,84.99834774295722,0.0,0.0,109.11676944594791,2.1405078933900086,0.0,0.20883050022368366,0.0,0.0,0.0,0.0,0.5742841973362829,2.9758293427617275,0.0,0.0,0.0,1.0994983408824908,3.028035726892,1.4618125823607784,4.698678257953787,0.0,4.646468288927252,0.20883068406448047,0.0
