mass_pair_id,sample_id,comment,substrate,detection,association,peak_height,peak_width,peak_area,peak_position,timestep_01,timestep_02,timestep_03,timestep_04,timestep_05,timestep_06,timestep_07,timestep_08,timestep_09,timestep_10,timestep_11,timestep_12,timestep_13,timestep_14,timestep_15,timestep_16,timestep_17,timestep_18,timestep_19,timestep_20,timestep_21,timestep_22,timestep_23
0,32205,None,BG4,[22],[10],3.6736591548695516,3.85873116188867,23.954593404802008,10,0.0,2.781822487160042,2.9423116048176894,0.0,0.0,8.559453422640473,0.0,4.547208244417959,0.0,0.0,0.8024478488498232,0.7489514762972931,2.835318294572261,0.5349653267566055,0.0,0.0,2.7818217336395605,2.78495428885941,0.9094413474753935,4.2262300091025224,0.0,2.6213309205609505,0.0
1,32205,None,BG4,[22],[5],3556.264049048104,8.204832462704054,23525.041176423718,16,0.0,5.453045448560317,1624.4739900224663,0.43819144602574056,1693.0334306352593,2327.533723638299,1680.3847156481795,2558.844776544678,4692.29946727967,1725.3623007442172,2338.7671392205057,5168.147520086739,3178.7379963049725,745.949571245172,1045.1104384004398,1403.8673832925517,1602.5473589736423,1067.5015758557265,969.9940098966105,643.8122778045997,298.0423419395189,453.42296437467087,1118.794089328037
2,32205,None,BG4,[22],[4],3547.600272232444,13.86217647721814,27721.644257737276,14,0.0,0.0,0.0,206.1443340301513,505.79396495819094,2909.2518627166746,3266.6360214233396,2339.281386756897,3512.0346986770633,3894.0244066238406,3452.3630140304563,2918.486659812927,2203.529176902771,3094.181798362732,2863.852199923992,1012.6552528381347,2092.4420303344727,2705.0581491589546,2626.46735458374,429.6713254451753,1864.9333152770996,772.2271282196044,0.0
3,32205,None,BG4,[22],[10],439.17196721284824,2.6757203320944782,1480.7110050294632,12,0.0,0.0,0.0,0.0,0.0,164.8901737052274,0.0,1074.9227184617378,5.116336133106643,3.550111150167055,1.3051880066653325,3.706733060170393,0.2610370681947245,0.0,3.3934879532780258,0.0,252.19198056875942,0.5742840134953724,0.0,771.6117708137236,0.0,0.15662227768495995,0.0
4,32205,None,BG4,[22],[10],436.7084475952416,2.456140444703843,720.1995039893893,12,0.0,0.05416603088372085,2.1124467849730593,0.0,0.0,0.0,0.0,1094.1786685943603,0.0,3.5749105453489847,0.0,0.0,0.0,7.095654010772591,0.0,0.0,0.0,0.0,0.0,1.6249589920043093,1.8416204452513796,0.0,0.0
5,32205,None,BG4,[22],[5],683.013963278479,6.891279965525337,3979.574057792237,15,0.0,3.748968745885321,340.4794073212012,0.0,0.0,3.359465181157873,2.0448917860395284,0.0,770.7343926590479,355.0166161355008,1041.3365464799858,563.9769461128149,2.434395950831771,768.919811291641,426.45993059136896,234.12936281354234,6.816305953465161,0.0,831.579489547215,0.0,0.0,813.4112616549717,0.0
6,32205,None,BG4,[22],[5],1034.45076258248,3.3721764737437603,2767.353854986708,12,0.0,5.284417873475604,0.0,416.5227153126786,0.0,453.5814794796269,737.012236804497,1601.028223921613,796.872802734375,0.0,6.6583659474443095,0.0,0.0,0.0,0.4227527525366668,2.219454323373185,6.12992523937686,228.2485578583508,0.0,0.0,0.0,1.7438570348228382,0.4227527525366668
7,32205,None,BG4,[22],[19],397.87811766863103,4.069954856031828,1711.2449216740001,16,0.0,0.0,0.0,0.0,456.55260250892184,0.0,203.20078381196964,0.0,0.0,451.9739977047767,0.0,698.7102060200256,373.00701018910354,82.27029400107313,0.0,229.74473741319446,0.0,0.0,0.0,0.0,0.0,141.2005794195482,0.0
8,32205,None,BG4,[22],[19],400.7649413019395,4.952049516603685,1649.5919321700076,11,0.0,2.086365876374373,2.6748286117741316,0.0,1.1769243405188092,6.9010588092568526,957.0540671642914,0.0,269.21047314302416,605.8684767734856,4.547209939838922,0.053495995792303574,0.0,297.5712105079932,159.6578766622661,0.0,0.0,4.172734013310105,0.0,0.0,0.0,237.3071614960093,0.0
9,32205,None,BG4,[22],[9],7.12059091230555,3.60447463937892,68.19940017731489,7,0.0,8.92442819871107,8.20592590125213,6.575089437415869,1.6153757658350116,2.033036030918737,1.6706297598689446,0.46681178334247875,4.1213378159396825,4.121336529053849,8.76780454221975,9.707539679056254,0.0,3.9770037811922805,10.542861220348328,1.9808279922209806,1.0932999748781924,2.9727709839143017,7.880278822887391,3.547054262046373,1.0933000667985766,8.141315431479995,9.603126635034414
10,32205,None,BG4,[22],[9],1017.3913380015642,4.786902282732429,5059.298955726967,11,0.0,0.0,0.0,0.0,0.0,1194.989612384276,984.2882877479901,1243.18961557475,574.3978308547627,842.3301951451735,5.4078994014047055,0.0,637.2421875650233,418.3346289504659,316.9120171937077,606.731856324456,0.0,0.0,360.028769904917,0.8777098872445208,0.0,624.9830452095379,0.0
11,32205,None,BG4,[22],[4],102.52899631720787,6.3467171854814275,427.0476109510659,15,0.0,0.0,0.0,0.0,0.0,0.0,209.5010808944702,66.81214847564706,42.695376205444404,0.0,248.8580347061157,1.1374711990357298,6.174842643737861,0.0,80.51187057495127,0.0,0.0,0.0,1.1916364669800146,0.0,1.787456703186166,0.0,0.0
12,32205,None,BG4,[22],[12],6.403865617910884,12.170321874533936,55.12717880685526,11,0.0,3.1613431325772865,5.909239838762971,0.0,3.2141874825082084,7.01896988473294,6.49052750192044,7.917319739737195,0.0,5.645019949936284,7.547410964965849,1.5231731228712135,5.486487086226333,2.685744913612922,3.9540057763820755,7.8644755758889175,0.0,0.0,7.4417215207728304,3.2141858077631014,0.0,2.051614668311231,4.5881368590563625
13,32205,None,BG4,[22],[9],3.5960487577253386,2.6741095680935096,24.273479730898043,24,0.0,2.7752103484079385,0.0,0.0,3.2134021373277903,0.0,0.2921282307486024,1.5580135731215137,0.0,0.0,6.4268031602495626,0.0,4.333222892846976,4.381912145721827,1.16850872254102,3.4081545197562377,0.0,0.0,0.0,7.595313340090684,2.337019502446907,0.0,0.0
14,32205,None,BG4,[22],[12],122.02188524766191,2.461120519170641,255.99343864675757,9,0.0,0.0,0.0,0.0,305.7955924814397,0.0,0.09848247874862182,4.755792010914149,2.514201581478062,4.538864764300257,2.8559881557117706,13.196634292602482,10.094441067088638,4.431706688620864,3.3483990755948128,7.336936170404613,7.145766122774631,3.6438468586314627,0.0,11.965605475685777,2.215852737426758,8.420241269198357,0.0
15,32205,None,BG4,[22],[12],7.605117266787474,6.4572028768674725,59.587887635144455,11,0.0,0.3939294815064045,5.022599393671271,7.9770714152943185,3.7423300309615115,4.283983403986184,10.34064735065806,8.469482681968117,2.757504896684196,1.4772352738814618,2.265094496987075,6.155147379094927,1.8219229091298246,3.4961234872991156,7.041488300670352,2.954469333995462,8.37100072340536,0.0,2.8067468296398204,6.302870663729578,2.3143353895707435,0.0,4.283981323242216
16,32205,None,BG4,[22],"[7, 8, 14]",1171399.9775791285,15.856531389726957,10346200.304131074,12,0.0,0.0,268160.82586596394,646369.8183358428,1096459.2419051207,1052491.1534262043,1215402.8294427707,1261178.8849774092,1085946.9376882534,835610.7624246986,993985.6138930726,808111.671121988,795985.1106927707,691967.5161897591,772039.8510918678,690513.2505647591,542986.1568147591,572573.3021460841,680979.0920557226,570582.6707454822,484824.83621987933,526673.3254894582,394052.6682040659
17,32205,None,BG4,[22],[16],33336.787775340155,15.384392254773267,307610.8208321387,19,0.0,0.0,0.0,6103.353050209491,13919.13697532205,15622.250657788445,15416.530126638969,23812.436078643794,41086.91002471026,31001.048766596174,25124.74611390058,31022.456181829115,25809.5011272206,34020.23280626185,35561.1360549478,31968.67983102237,29042.714886519487,17337.437382103413,24302.317853591023,22840.815254166544,21292.678103503054,12754.281470253885,18107.537344225715
