mass_pair_id,sample_id,comment,substrate,detection,association,peak_height,peak_widthpeak_area,peak_position,timestep_01,timestep_02,timestep_03,timestep_04,timestep_05,timestep_06,timestep_07,timestep_08,timestep_09,timestep_10,timestep_11,timestep_12,timestep_13,timestep_14,timestep_15,timestep_16,timestep_17,timestep_18,timestep_19,timestep_20,timestep_21,timestep_22,timestep_23
0,32470,None,CB4,[15],[10],829.8822723528401,2.45779299036284,4158.398569960614,0.0,0.0,0.0,0.0,3.212572237037316e-06,0.0,0.0011879078514726933,0.0,2.5399659308390472e-06,0.0,4.924572170261352e-06,4.304577672181016e-06,0.0,0.0,3.230560418325095e-06,0.0013751254555841447,0.0005727854136966568,4.7793283720130555e-06,0.0006798314758980211,0.0,3.2566792953122626e-06,0.0009346832452895701,0.0
1,32470,None,CB4,[15],[5],86492.2390858565,5.697891324236023,421921.6481029918,0.0,0.00965469112642675,0.002626964364292536,0.017497586945333005,0.03892336225737378,0.03690713833033122,0.05796284090593424,0.046016233957393585,0.029973705710771716,0.025053810461964237,0.027541548204980504,0.015461413684051262,0.02037991288988497,0.012614010408101768,0.011070106958614956,0.012664729074933477,0.008241737963457372,0.00859811113599001,0.004589276409970393,0.012484214369333781,0.007203955047990559,0.008640988059710983,0.019984114111218365
2,32470,None,CB4,[15],[4],10938.215604359546,13.263862563195902,88645.88111891567,0.0,0.018499719369096532,0.0021899079188596768,0.0013862897407280186,0.0026223418397697444,0.002185172020055008,0.00407050760839439,0.004340830826635838,0.005066004039113959,0.004675053467779272,0.00930143905362666,0.006574989577380259,0.0052527032341532645,0.0048315552522436855,0.006760648903707022,0.0056661923597390185,0.0055881757670784935,0.0037213957051264656,0.004596810025412314,0.006403810373719557,0.003456944154530016,0.006694646533901726,0.006342672714905557
3,32470,None,CB4,[15],[10],4096.246600698729,11.665190512490314,29851.05826709821,0.0,0.0,0.0,0.0003569333720612744,0.0,0.0005274808879327361,0.0008208329599725422,0.0007720430473167928,0.0005702162365876075,0.0014168829817577367,0.0009308953335838638,0.0013560574466286105,0.0019141860603081764,0.0020148583243917413,0.002030611220360829,0.0025800286627430265,0.0029340180544134946,0.0013616944512270532,0.002060389743881754,0.008540238376864325,0.0012139222744521811,0.004243966596127282,0.004209930226666347
4,32470,None,CB4,[15],[10],1348.0528932087072,2.5941444413790435,5410.86758842904,0.0,0.0,0.0,0.0,0.0,0.0,0.0004727133148209758,0.0,0.0,0.0012710200974392573,0.0,0.00013988204475106342,0.0006187406535225243,0.0001576334575366852,0.0,0.0,0.0006008715412835226,0.0,0.0,0.004255609070824415,0.0,0.0,0.0
5,32470,None,CB4,[15],[5],7496.297005181568,5.417781553590178,47944.867709554426,0.0,7.377416494825875e-05,0.0027863585582829507,0.0017836239651720588,0.003632201083702049,0.0044580178010177355,0.0038100214637850015,0.0036548978841050854,0.0026696364452322846,0.0014749083869479767,0.0011011965863025064,0.0036013378306488297,0.000980404771268538,0.0031697976606483067,0.0039036148092936296,0.002463657423252669,0.0013946931821562673,0.0019299801687930045,0.0008221024853452423,0.003765969588863382,0.0010684808387707006,0.00029809156469419977,0.0026569025324056725
6,32470,None,CB4,[15],[5],6002.174592186707,5.014466319177556,27140.61727743941,0.0,0.0,0.0,0.0011980096376769966,0.0025103846832180074,0.0009800574807663984,0.001999734049913051,0.005810144393785624,0.002018601008173406,0.0015635047008608915,0.0022872192474468643,0.0011651371563922573,0.0009897932302477162,0.0008472888470000215,0.0005582385100516785,0.002311002757740176,0.0007147090238355105,0.0004920312613852736,0.00018806854360172833,0.0005805657504254047,0.0,0.0,0.00176842138006197
7,32470,None,CB4,[15],[19],8844.784587687722,11.42760643699979,59767.6068979289,0.0,4.8574607040708505e-05,0.0006704993414870001,0.0,0.00039886815442896173,0.0017215029925358026,0.004785680958808258,0.004395913945537634,0.005952824438690709,0.00531178928567935,0.002360603817864283,0.003032766616583298,0.003299629907398238,0.0044191459567186914,0.0022897303902338125,0.005576983360313072,0.0057591680872805615,0.001969682264730535,0.00014311356420106317,0.007928530069666992,0.0022869044867985804,0.002865590106648389,0.0017709061774636803
8,32470,None,CB4,[15],[19],2261.7812461322983,7.853608141396359,16670.556464820773,0.0,0.06262583567480241,0.0,0.0006076812782181137,0.00036532754871389434,0.0005912341629876869,0.0006898702880535008,0.0013793512599790997,0.00012221790849001953,0.0016251813857867266,0.0016597011733915387,0.0012290337950714963,0.001424450185870477,0.0007273101048546197,0.0,0.001311228859225747,0.00031005044023853245,0.00011837387031101035,0.0013502455772381717,0.0015698955807591033,0.0003722785127892905,0.0,0.0014945999826608397
9,32470,None,CB4,[15],[9],213.02875510404516,2.468500805377225,369.80004876413,0.0,0.0,0.0,0.0,0.0003630736406002738,9.101987572409549e-07,2.714632433144795e-06,9.66830536785901e-07,1.1945840435855922e-06,3.87596584965506e-06,0.0,0.0,5.554746925749913e-06,1.1965885871857508e-06,6.973557119010777e-07,8.949800185207e-08,1.4149411324503375e-06,1.3718123967966256e-06,0.0,0.0,0.0,0.0,1.0763473117783235e-05
10,32470,None,CB4,[15],[9],3577.43370313348,6.789793454483787,20597.116036414445,0.0,0.0,0.0,1.7459326151973779e-06,2.9906283196774194e-06,0.0012869880289206011,0.0009503009322457756,0.0015143452199217345,0.0025764373656040913,0.0022665587829010965,0.0013046569224957568,0.001819057719110816,0.000364398446634663,0.0014240346305154168,0.001633084946474433,0.001625480015790557,0.0006505902805262977,0.0011260352778188682,0.0005740391126641003,0.0010455728884188906,2.7634364879476338e-06,0.0,0.0006315613125814912
11,32470,None,CB4,[15],[4],275.6800670908852,3.4299404339447257,1787.8747894858077,0.0,0.0,0.0,0.0,0.0,0.0,0.0002024067913239434,1.2852061185395172e-06,0.0,0.0,0.000434795955710357,0.0,0.00020341487505424265,3.0096021119087424e-06,0.0,0.0005734480922036999,3.842708896803291e-06,7.409951646410247e-05,0.000158756117320509,0.0,0.0005159530347376196,8.47355334674708e-07,0.0
12,32470,None,CB4,[15],[12],74.63560948259216,2.502875194946043,159.61642479947366,0.0,7.323594813321399e-05,0.0,2.566133336908747e-06,1.5145737687557802e-06,2.573685542010057e-06,0.0,0.0,5.471412142450712e-06,1.2766075960644925e-06,9.615903019267937e-06,2.8923283357089816e-06,4.1140159941089735e-06,1.1744781750325477e-06,1.9793286309257775e-06,0.0,0.00014839981668581927,0.0,2.8115146489782806e-06,0.0,0.0,0.0,0.0
13,32470,None,CB4,[15],[9],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.007615480733264e-07,2.8176675905236883e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,32470,None,CB4,[15],[12],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,32470,None,CB4,[15],[12],350.385405082409,2.453774337031266,584.1100414774196,0.0,0.0,0.0,1.556155353380191e-06,6.1472905014197495e-06,0.0,0.0,0.0,2.650905968442419e-08,0.0,2.2819213866923236e-06,8.227770660447257e-07,0.0,0.0,0.0,3.9720425660194923e-08,2.2742671401694475e-06,0.0,0.0,0.0011088242621933118,0.0,0.0,0.0
16,32470,None,CB4,[15],"[7, 8, 14]",1872139.9167261694,18.194908907114105,18582387.106460754,0.0,0.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,0.9691732993635029,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0
17,32470,None,CB4,[15],[16],163880.4533362311,16.05500026776603,1527531.503005128,0.0,0.0,0.007248527538153739,0.023694879094474493,0.01444103188264308,0.03421399053583539,0.05807157723813514,0.06470121112299657,0.08751124958250513,0.08741195688010753,0.11317738178121736,0.09512254036090347,0.13405681523594648,0.10609346750152684,0.1320340004430595,0.11050640594969749,0.09982170549326787,0.09284518271735892,0.08500319153272927,0.12515483234506125,0.0960623135819454,0.09333953184655124,0.14071013489067147
18,32470,None,CB4,[15],"[7, 8, 14]",546797.7269188408,18.01980199370585,5368855.658261391,0.0,0.22214006031257535,0.20339528168222057,0.26133327169258835,0.2548452299019258,0.18873111270111395,0.3095448544010535,0.3289606333155045,0.31444380260678584,0.3116374616984401,0.3447911795761499,0.21339116845429848,0.39450146889612847,0.35726907548723746,0.29722293255182874,0.27386528549463185,0.27860276254470684,0.27234723767779967,0.24636848401179795,0.41907992649807285,0.3089433756046236,0.26879749163859123,0.31618419483820126
19,32470,None,CB4,[15],"[10, 18, 20]",409275.1713380951,16.967110717412403,4066934.1947469087,0.0,0.0,0.07969738402410886,0.09491993659186061,0.12800134831709098,0.1037119664091308,0.19067801541914747,0.19333662919769987,0.19589568333602222,0.2463502503300294,0.2983702585421994,0.20277936406863076,0.3764540942282561,0.28491765034771416,0.2748735357787144,0.3098566000448112,0.26074241576015506,0.2346298945833856,0.1888441480237905,0.34138799382115176,0.2532421395037196,0.2049752989638159,0.3159507827185463
20,32470,None,CB4,[15],"[3, 10, 18, 20]",1040586.9957544756,17.59161082972336,10490118.667249732,0.0,1.0,0.2133114983724257,0.30215033570385996,0.4718225215622127,0.5172787847733155,0.3874098943562206,0.5154349545195221,0.5487195187400383,0.6253037261725729,0.7396170457760771,0.5681766246802308,0.8915131015219212,0.6474085943850091,0.6791850158138587,0.7631262919112382,0.606293598999481,0.5362209519739429,0.4325527194609256,0.7349656723809487,0.556563295334092,0.4983757259616413,0.7299529936287665
