mass_pair_id,sample_id,comment,substrate,detection,association,peak_height,peak_width,peak_area,peak_position,timestep_01,timestep_02,timestep_03,timestep_04,timestep_05,timestep_06,timestep_07,timestep_08,timestep_09,timestep_10,timestep_11,timestep_12,timestep_13,timestep_14,timestep_15,timestep_16,timestep_17,timestep_18,timestep_19,timestep_20,timestep_21,timestep_22,timestep_23
0,33062,BGS01,None,[22],[10],621.6844982775591,3.143418839108964,1377.060310632075,17,0.0,0.0,0.0,5.1859877197831,10.214665954495644,0.0,4.276546937447989,0.0,0.0,0.0,314.72637095274746,657.5721748611074,1113.4997246235978,4.972002417952922,2.470260467058381,4.169551931781513,0.0,1.7087098463082668,0.0,1.7622063130508252,0.0,0.0,2.9926285331631846
1,33062,BGS01,None,[22],[5],13459.695590247095,12.557112159576063,120368.34062379535,11,0.0,1987.1756852235685,2828.85550302334,7103.496731345574,8415.459072386282,11633.36740210351,16264.390265368345,11688.698509157373,14926.178334595113,7894.023492614875,5697.241210921427,9187.785485669468,13255.387859456994,10105.674716119016,10398.249061139782,6161.676626810867,6423.0619066645595,4907.822081046158,10122.09538078844,5076.279762594888,7129.049917826492,5031.974528403764,10056.23299243477
2,33062,BGS01,None,[22],[4],11237.41522996697,12.25261499645966,82786.6353525947,13,0.0,11.121414470672562,0.0,1819.660376548767,6415.140174293518,3271.1418704986577,8099.616075706481,9723.296941184997,13142.593657070398,11465.3192201972,7157.086089897155,6063.627354264259,9472.70275850296,5804.870923423767,6117.436993217468,6518.572591209411,10343.109793317317,3597.588850402832,5746.295930099487,4298.7109491348265,1606.0282330513,3350.596043777466,3539.3299455642705
3,33062,BGS01,None,[22],[10],906.2806986902617,3.995382620428108,5770.162788825834,11,0.0,0.0,3.0280354511306484,7.413467315306093,9.345145627676771,1144.401460486722,1153.0531516017681,517.2739532654543,808.1272944255046,6.578148899308161,7.4656755378447315,363.1312025139131,6.212694558752617,261.3145638891013,695.4045702463172,125.87284749961754,6.682562035250328,917.8978132684546,9.815013196094867,982.290986026626,636.3446838195065,1240.669545644737,0.0
4,33062,BGS01,None,[22],[10],494.9432086253929,2.473240745602788,1815.0293549664318,8,0.0,11.645537185668928,8.449785995483438,1233.5129658043384,0.0,3.087421321868902,0.0,9.045603752136316,2.9790899276733853,5.199869346618698,4.983206748962402,0.0,10.128909492492681,4.874876403808628,838.7030136823654,1.5707939147949048,0.0,626.1608101129532,4.062396621704096,4.008231544494635,15.437109375000006,1.5198105394840127,0.1624961853027287
5,33062,BGS01,None,[22],[5],2682.6131000242535,7.599951561457345,20131.266017571943,14,0.0,0.0,8.276944449778398,381.2460216404347,2697.616483109721,1130.6245580951818,2346.7551320108137,2408.823273047972,390.4831043200546,4620.027700188454,2146.8213096361483,1552.9230043218377,210.88671613543212,1064.2457133946793,531.4266249410222,504.5312516287471,1655.9687494856587,569.4611873841018,1773.7431853219364,2059.8053763743196,2177.375315291158,297.4582428664303,2729.5949458218693
6,33062,BGS01,None,[22],[5],1295.828994998639,6.353612801427195,7885.275548419146,16,0.0,1.4765147813936608,11.04131253172713,0.0,697.6395158186192,0.0,189.0558817909985,795.2300903622697,1587.1079748316508,827.2844657083836,1799.9779237072642,673.5015272861574,2228.0487128583395,3.0089962773207333,99.6639547696928,463.9048399692628,6.549557115973585,302.3618013451739,364.46911333828444,633.3897716359395,2.9561521134725695,1497.5708957881461,2.483675334511787
7,33062,BGS01,None,[22],[19],8528.067582554788,10.78690709062773,65946.37970171335,15,0.0,865.8339463222172,0.0,652.3776395821276,1507.8834183304398,5673.310395417389,5128.597832197024,5736.995181048357,6097.7482507022805,6900.2268260320025,10590.522043110412,8044.205895317926,5716.225879622094,5011.081050166377,5617.949393755123,3962.2447961877892,4036.9234832010147,5002.243338879243,1420.0275662269119,6090.605396058824,4903.884028493621,5419.398110001175,3594.8530855532044
8,33062,BGS01,None,[22],[19],1389.623708904955,4.467427474854409,7097.254839714713,14,0.0,0.0,0.0,0.0,0.0,641.8235767505787,0.0,377.26469346034673,1587.8567167682413,1625.1693912082246,1185.2858541983144,905.2667464268061,182.12779678533104,846.5741081708743,0.0,880.9964518605927,753.383053249783,439.05511192039194,121.67751397026905,0.0,723.0335160243658,654.7524635821212,0.0
9,33062,BGS01,None,[22],[9],345.58091287878557,2.453976468146964,569.1893365233877,11,0.0,0.0,0.0,3.0280348076877033,0.0,0.0,866.2063696068452,0.0,0.0,0.0,0.8875265466160727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0957108463149,0.0
