mass_pair_id,sample_id,comment,substrate,detection,association,peak_height,peak_widthpeak_area,peak_position,timestep_01,timestep_02,timestep_03,timestep_04,timestep_05,timestep_06,timestep_07,timestep_08,timestep_09,timestep_10,timestep_11,timestep_12,timestep_13,timestep_14,timestep_15,timestep_16,timestep_17,timestep_18,timestep_19,timestep_20,timestep_21,timestep_22,timestep_23
0,33118,BGS01,None,[21],[10],615.3922358470098,2.452746970481389,1553.8076292769579,0.0,4.5893438443844296e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.1418216421558856e-08,0.0,2.591016326103337e-06,1.431171572180839e-06,7.92816416540238e-09,8.859812975964392e-09,0.0,0.0,2.0893457884825126e-08,6.807785015562828e-08,3.022102935384773e-08,0.0,0.0,6.335078305105156e-09,1.8069397007290184e-05
1,33118,BGS01,None,[21],[5],7745.877905512627,11.346130492907543,61358.05702765106,0.0,6.906160760857642e-05,5.690439656201306e-06,1.2051790481639085e-05,6.740529762427162e-06,1.9571097945860572e-05,3.029704724417659e-05,2.765148537487966e-05,2.08727389708714e-05,2.6809972824016036e-05,2.572892498283832e-05,2.9065713771975444e-05,1.3703415736059745e-05,1.9645002525713196e-05,3.1183812834168906e-05,2.712207476046614e-05,9.946760405133289e-06,1.758752676820661e-05,2.3034144385494602e-05,3.2343632186275055e-05,3.225081662107889e-05,2.2616613970858968e-05,9.776150644065004e-06
2,33118,BGS01,None,[21],[4],6620.249491379177,11.372003936059055,52445.14444628506,0.0,0.0,5.735792733011001e-06,4.706907324214238e-06,7.907331274597263e-06,1.1600281486540542e-05,1.8378128006162984e-05,8.524290245309434e-06,1.5544634432906633e-05,2.443006437578399e-05,3.088644672800031e-05,1.922078821645121e-05,2.5264835015738927e-05,3.211319817668338e-05,2.4297505572635326e-05,2.046008544252049e-05,2.414764008694478e-05,8.298674148463874e-06,2.9021738578857357e-05,5.798507947657973e-06,2.764265670547766e-05,4.820300118708512e-05,1.8500299572224702e-05
3,33118,BGS01,None,[21],[10],1924.7654840120708,4.4138650021420975,7916.05098339916,0.0,0.0,0.0,7.09588391483669e-10,0.0,2.238443347288522e-09,3.0999714912677624e-06,1.4677446498359705e-06,0.0,0.0,2.493668813705701e-06,5.058623178107419e-06,3.2093938726808137e-06,1.443884024792433e-05,8.813153930729227e-06,6.143934749988256e-06,3.079459478239687e-06,1.5442200530123807e-08,6.807515114985541e-07,5.950276343833738e-07,2.9148428331502665e-06,1.5545094417052096e-05,0.0
4,33118,BGS01,None,[21],[10],9644.331683761013,15.115471093076188,86344.75143223684,0.0,0.00016578844837755055,3.577726885440987e-05,3.7989071873555696e-05,2.6287852570521245e-05,2.404685577617277e-05,3.037978576676314e-05,2.452304008230325e-05,2.693584532498144e-05,3.3059423321285865e-05,1.3399847073234836e-05,2.2424613507324384e-05,2.9814798978380496e-05,1.852101727505825e-05,2.2831460451256607e-05,3.8114836685151075e-05,3.902086540824056e-05,2.077639878969175e-05,3.780611670407011e-05,3.925432519888173e-05,2.7151412561854794e-05,5.167797188977926e-05,6.360184951886735e-05
5,33118,BGS01,None,[21],[5],2003.6962165641016,3.4509451377604634,11194.726072379555,0.0,2.636162117235514e-07,0.0,1.1434291401589866e-06,2.5039770154058065e-06,1.5491127212623096e-09,0.0,8.61665943067585e-06,1.7193212051105867e-06,2.7484627421526258e-06,3.996969212681279e-06,8.390993523331814e-06,4.029909271086174e-08,2.488846448853202e-06,1.6674097081119878e-08,0.0,0.0,2.513614826714306e-05,1.5718455547431823e-05,1.0467605970143555e-05,4.193636808280917e-06,0.0,1.6052486771391286e-05
6,33118,BGS01,None,[21],[5],385.16705151881797,3.7745823442388975,2289.4218766311415,0.0,7.413404544391445e-07,4.858406773999747e-08,9.049819719781145e-09,1.1148500320154963e-08,0.0,8.230789342247288e-07,1.498160263008848e-06,0.0,0.0,2.6448156089651585e-08,2.0068197036564336e-06,3.3865878014514804e-09,2.3636864328429094e-06,4.360713334522528e-08,3.7219599264068297e-06,5.463178596895225e-09,8.745578590423339e-09,4.799449707765909e-06,5.000436774758064e-06,9.927755694880224e-08,0.0,0.0
7,33118,BGS01,None,[21],[19],4170.162058419415,14.72722486297183,32019.58943237693,0.0,2.6996132656058775e-07,7.08428318143864e-08,4.217217374167664e-09,4.106821335689626e-06,3.973017828374069e-06,6.680039450756903e-06,9.944757026163017e-06,7.764465611526076e-06,1.8276443426968317e-05,2.043051665475697e-05,7.725547195756178e-06,8.406150343938884e-06,1.3802563087402488e-05,1.6308584790935776e-05,1.5522355668770743e-05,1.408521999842405e-05,1.9660170741479086e-05,1.9152980124665218e-05,2.2293968589911993e-05,3.191571808603043e-05,2.4222064404347777e-05,3.4115766834235147e-06
8,33118,BGS01,None,[21],[19],1325.9412244633195,9.85739449204564,7311.726723034699,0.0,0.0,0.0,4.867968707811904e-07,0.0,1.7767479725663248e-06,0.0,5.253864675749529e-06,5.568135325021677e-06,0.0,2.8442070473966444e-06,4.913437181246153e-06,8.743338336839798e-06,2.3458996747512248e-06,0.0,1.2954877824117725e-05,2.0448658641254256e-06,0.0,0.0,0.0,0.0,2.137064998271615e-06,0.0
9,33118,BGS01,None,[21],[9],249.54526575891214,2.477011425094105,459.03512648904837,0.0,5.005670048412934e-07,1.3430834907876423e-07,2.0010328922988066e-08,1.8210110755315407e-08,3.1295893282737608e-09,8.369829373251158e-09,0.0,0.0,0.0,1.9898621291367267e-08,2.5394363312394333e-06,3.450340727076675e-08,1.1443664847446491e-08,0.0,3.744691017253827e-08,3.598236827348541e-08,0.0,8.183217475445251e-08,5.965900832072903e-08,1.2624342327207566e-08,4.2714928506150096e-08,1.3457340253767738e-08
10,33118,BGS01,None,[21],[9],536.345279762841,6.4378319405997,4745.147986313134,0.0,0.0,0.0,0.0,0.0,2.7418003651177957e-06,9.169330255761467e-07,2.8886284146928464e-06,0.0,2.364754762305985e-06,2.2927016182644312e-06,0.0,3.287568387739772e-07,4.449688162557046e-06,1.1716525486948418e-08,0.0,4.857480148750679e-06,5.536590289090271e-06,0.0,0.0,0.0,8.78375674454668e-06,8.85800269870449e-06
11,33118,BGS01,None,[21],[4],502.8953428419948,2.9790806647979196,3109.914216407991,0.0,0.0,0.0,7.683876817164766e-07,0.0,1.5605207624171524e-06,3.1740816337998113e-06,0.0,4.802236118251437e-09,0.0,1.3572712121457268e-06,2.415939360015977e-06,1.2314565240086175e-06,0.0,3.116489077361889e-06,3.225783484048711e-06,0.0,1.0971610086209745e-06,1.4415733688834897e-06,0.0,2.8124002761143678e-06,3.498690170372438e-08,0.0
12,33118,BGS01,None,[21],[12],5.5206089521299315,7.447607439160043,38.91794652648072,0.0,0.0,0.0,3.058857348545369e-08,6.531718857623173e-09,0.0,0.0,0.0,3.633779447878435e-09,0.0,1.402591282032826e-08,4.066963276337882e-08,3.1624840762919218e-09,4.528814270572673e-08,0.0,3.1400664067864912e-09,5.461394422628511e-08,0.0,0.0,4.991707279022215e-08,0.0,6.425146377764153e-08,0.0
13,33118,BGS01,None,[21],[9],5.846143079061132,6.905846202094043,38.97623897390602,0.0,2.1129801307874626e-07,4.5173585062310996e-09,8.867438321930667e-09,1.506509519765888e-09,0.0,1.8956393602888205e-08,3.578552572356937e-08,3.0376219991192664e-09,2.2645022537921227e-09,3.523982625135187e-08,3.0868086324883196e-08,7.60555556175691e-09,0.0,1.1091915663908304e-08,0.0,0.0,0.0,4.300005615875525e-08,2.300780685633303e-08,0.0,7.96705537291848e-08,0.0
14,33118,BGS01,None,[21],[12],4.752501086993325,2.8460833341924996,19.265602117789058,0.0,0.0,0.0,1.338535139640314e-09,3.8783249896331045e-09,0.0,0.0,0.0,0.0,0.0,0.0,8.311513525299488e-09,2.208978722498014e-08,0.0,1.1935370517825552e-08,0.0,1.5554876312483665e-08,7.045304499090597e-08,0.0,0.0,0.0,5.513088356311284e-08,0.0
15,33118,BGS01,None,[21],[12],725.7964286714015,8.619727348871026,4583.168225316304,0.0,0.0,0.0,4.015614610163992e-09,0.0,8.445050275919743e-09,0.0,5.168126395508086e-06,1.3417673881780708e-07,4.4967476445532465e-06,1.4656727328235589e-06,7.662500364584838e-08,2.760953281399305e-06,5.488166870748546e-06,2.0222288026071362e-06,1.1015443673813178e-06,0.0,2.5472761669152685e-06,5.4449896371603086e-06,6.430775764002849e-08,0.0,0.0,5.151434772109506e-06
16,33118,BGS01,None,[21],"[7, 8, 14]",2316396.003430639,10.990418724318943,18055624.573384084,0.0,0.0,0.006631092345744974,0.0071293507073502465,0.006072857179126147,0.008244147135232138,0.0068847135735228175,0.008573440838862922,0.005940199101563713,0.00603049985313648,0.006935860750125495,0.007269560183970258,0.0044225257860268955,0.0063307072113726656,0.004883968924898949,0.005160116761004614,0.0037604403782140338,0.005827036284924159,0.005501699448794086,0.004086578338688687,0.003506397883094183,0.004088817756696946,0.0051271500171309005
17,33118,BGS01,None,[21],[16],129512.35911279076,15.842292991719654,1280695.847315006,0.0,0.0,0.00022605408180145507,9.894927151728076e-05,0.00011842726894494437,0.0001968843514361867,0.0002368547379282287,0.00029820426424578643,0.0003480821378666784,0.0004204811703959332,0.00048193244520458605,0.0005044801112928523,0.000507625691974291,0.0006741983996971791,0.0006077278850262896,0.0007567659453677702,0.0007046565958206925,0.0007806820411166964,0.0008970828595907656,0.0008783131922898488,0.0007951231182337313,0.0008200031092461245,0.0006834448880359622
18,33118,BGS01,None,[21],"[7, 8, 14]",811330.8136088969,6.5440310328061635,5529767.517797896,0.0,0.016126982313509654,0.013753198975634632,0.0010326767704923522,0.0014595854233538368,0.0016171560453792113,0.0014236122659532554,0.0014573216184313375,0.0012706152140909439,0.001248085910601304,0.0011002300101030235,0.0011780774848896506,0.0013943019762954233,0.0016580053550413437,0.0019538368847799945,0.0016796097971765805,0.002047680777521711,0.00216698585173241,0.0025942399308953217,0.0023499740218030337,0.002371116002769683,0.0015748310717875105,0.001947650561606678
19,33118,BGS01,None,[21],"[10, 18, 20]",404239.32966174965,17.631560835113685,4421664.225107652,0.0,0.007713976725251569,0.0014033904120080978,0.0003232677828932344,0.0004673415589363277,0.0007618201951261496,0.000754580420043194,0.0010397307069422111,0.0009720800706757597,0.0011023058006700114,0.001319288298870093,0.0013633594673501705,0.0016126666943266268,0.0019982464440674638,0.002077961663943443,0.0023118401599809403,0.002422143211809428,0.0024325754072932553,0.003018311310190576,0.003646777978204056,0.003571136618603182,0.00382781181042143,0.004240297485262886
20,33118,BGS01,None,[21],"[3, 10, 18, 20]",1042590.9224821513,19.468613388471645,11676556.732247097,0.0,0.02417857701713368,0.005166532449360584,0.0011529888964187866,0.0020260569476563176,0.003478303730119617,0.001790766118126977,0.0022064308774133873,0.0025089215750587744,0.002807783857246106,0.003694536665533991,0.004004366465519569,0.004020404721348285,0.0050329056047486815,0.0053743315765454325,0.006215087591179577,0.005793738136493365,0.006596613478738701,0.007272307576460931,0.007902132369361714,0.00777650064841052,0.008887086905461332,0.008915870870256123
21,33118,BGS01,None,[21],"[11, 18]",10103.6945325818,18.913982988620504,100964.6572093878,0.0,0.00011187972908512302,5.182919813636552e-05,1.6552279377989096e-05,1.8020684388185152e-05,3.067894948600136e-05,2.7101389310874208e-05,2.9826604651946024e-05,3.4695293223351604e-05,3.546196551315316e-05,4.1546105702500116e-05,3.362050201273398e-05,3.1247474840564134e-05,3.331743626826564e-05,3.47458716170006e-05,4.3535207234939525e-05,4.1336741524153426e-05,3.07944946404225e-05,3.009197765772414e-05,8.431158446206417e-05,5.269842207006801e-05,5.393026217125853e-05,7.069879050228923e-05
22,33118,BGS01,None,[21],"[0, 2, 10, 21]",2604827.2944148937,16.79855058579409,25910561.13315717,0.0,0.10517907682457979,0.03047521132583601,0.006494988180026928,0.006877389267088841,0.007283894991110502,0.0073583991463643675,0.007352137748409704,0.007472090475871135,0.007903666523618867,0.008046509423086427,0.008207511102288722,0.008092979347004916,0.008863328127228617,0.008729860236345118,0.008984967003639753,0.008731038861014614,0.009412577350025876,0.009889643291197077,0.010163774355068158,0.010469831076262169,0.010569219994358411,0.010481449036588824
23,33118,BGS01,None,[21],"[0, 2, 10, 21]",598780.0239332826,15.609962152889631,5947233.60735442,0.0,0.005806981127507964,0.0022748588309715037,0.0011509054896172224,0.0014533884914269802,0.0016854550672555204,0.0017762595071820837,0.002077840910616941,0.0020676963902979263,0.002017851301325776,0.0022090133830351593,0.002353310736576313,0.002238979886623954,0.0024027955857362894,0.00248125303611565,0.002606307558124202,0.0022314878275677607,0.0023635891432276708,0.002276243933367613,0.00226803280881047,0.001964074903339823,0.002472335766290222,0.002501631078593688
