mass_pair_id,sample_id,comment,substrate,detection,association,peak_height,peak_widthpeak_area,peak_position,timestep_01,timestep_02,timestep_03,timestep_04,timestep_05,timestep_06,timestep_07,timestep_08,timestep_09,timestep_10,timestep_11,timestep_12,timestep_13,timestep_14,timestep_15,timestep_16,timestep_17,timestep_18,timestep_19,timestep_20,timestep_21,timestep_22,timestep_23
0,30122,Positive Control,None,"[21, 0, 18, 4]",[10],512.553922098242,2.4698148020194157,911.1572110953332,0.0,0.0,0.00017172697061830277,5.032006869042057e-07,1.40918365632078e-06,1.4441398691690936e-06,1.2084719569242386e-06,0.0,4.359904759352171e-06,0.0,4.318933991861377e-06,3.5841757985506616e-06,2.1724754407209494e-06,5.8054348165337125e-06,4.5670905396061626e-06,0.0,0.0,3.4825118850304904e-07,1.4667569298592936e-05,1.807780979745689e-05,0.0,1.3220988835783174e-05,0.0
1,30122,Positive Control,None,"[21, 0, 18, 4]",[5],18602.595246229008,6.607747700280264,103184.43586711015,0.0,0.0006083713892607141,0.0003090279981161527,0.00148620493708422,0.002678083200103553,0.003091638312477319,0.0014829377164227596,0.001633520614340498,0.0031243745470876283,0.002344897304712169,0.0014243760651474196,0.002312451477062516,0.0026342848241247916,0.0021603767555932016,0.0029109531543121936,0.004498577657671465,0.004019682033623422,0.0038846940523394255,0.01591429362006616,0.014434192965341295,0.0026474341625260106,0.003655890949244593,0.0004919328169946287
2,30122,Positive Control,None,"[21, 0, 18, 4]",[4],352356.84525196615,9.828751875774472,2555963.7530426253,0.0,0.0003964633722954632,0.007943370888675175,0.04421735756620233,0.04663458195385219,0.045375727073880115,0.04963840898911785,0.05183473889856554,0.06253940547988421,0.05406352576336838,0.05192567383364632,0.08196048977107336,0.07997059309642972,0.11491301318183962,0.09135437425757273,0.10230448610810623,0.11749300364393866,0.14120072467072792,0.4878903629086395,0.23616270943065554,0.27708066387655145,0.0645772099586561,0.08131700532291042
3,30122,Positive Control,None,"[21, 0, 18, 4]",[10],1208.894974544895,5.143247223842859,7180.102604930127,0.0,5.251535841044166e-05,0.00015961333291858681,0.0001214354890565926,0.00024117647559425344,8.054919268368679e-05,0.00016818547110849786,4.4802588491124484e-07,6.839749448926253e-05,1.6464551676846776e-06,7.368840563480929e-05,0.00011119068822181366,0.00047530604603198724,0.00031092934143981635,0.00024668419201841316,5.293547902403108e-06,0.001284436486707136,7.251042930133485e-06,0.0011003503301464568,2.1760556931103352e-05,0.001042298198092095,0.00036136482003616395,8.536787936722676e-06
4,30122,Positive Control,None,"[21, 0, 18, 4]",[10],322.3495292505326,2.473945733271645,752.568615674624,0.0,1.0029148071177554e-06,7.340936210102553e-07,0.0,0.0,1.4296959456987385e-06,6.007499131130625e-07,1.6252074959441583e-06,6.260851020930988e-05,2.617379603891627e-06,1.2210233672941055e-06,2.805438188207853e-06,3.2791649176585046e-06,8.798799718424296e-06,1.5606374391934559e-06,6.2057213907587006e-06,0.0,1.3062013057955194e-06,1.664351147884857e-05,1.1193305475895243e-05,1.4215820975732765e-05,0.0007162938687836978,1.0303240947478958e-05
5,30122,Positive Control,None,"[21, 0, 18, 4]",[5],1857.657871643304,8.580967117379116,11890.303824696013,0.0,3.521404611442596e-05,1.473925207563562e-07,0.0001764407643349953,5.1682821825293084e-05,4.060523902097493e-07,0.00017580511070665265,0.0003145374963239945,2.4187163409269552e-05,0.0005777747774587974,0.00038829676319598357,0.0003640615761024257,0.001310377873505279,0.0007756078265216909,0.0008095359786069885,0.0005240051695491869,6.904940191666134e-06,3.098331064405541e-06,0.0010561084035333604,0.0,0.0025269783974633036,1.0041768747151535e-05,0.0013505073699294507
6,30122,Positive Control,None,"[21, 0, 18, 4]",[5],591.6511616120331,3.2479513751082614,2623.112072349247,0.0,9.07897071244638e-07,1.6581973165777759e-06,5.9009696175307e-07,7.780099757254125e-05,1.028902497908949e-06,4.4821402090044154e-07,1.3501061346147435e-06,8.833215873958637e-07,0.0,7.15121050273957e-05,0.0004009750478266391,0.00020746708341531163,3.097159062004975e-06,0.0002388322616154143,7.246776542548792e-06,0.0008138811509269447,1.010447316050276e-05,0.0,0.0010723776360541215,3.591403740257499e-05,6.209687152546611e-07,4.6942528427518255e-06
7,30122,Positive Control,None,"[21, 0, 18, 4]",[19],822.6341298695484,4.979794272854377,5308.054673186303,0.0,3.9042930931798873e-07,0.00015124716432416365,3.731468212544391e-05,1.442010965832482e-05,0.0,0.0,3.3989984442439726e-05,0.00020659974248329232,0.0002685619229078797,6.090654931638602e-07,0.0007281581600291598,0.0,0.0,0.0,0.0,0.0011979210672677042,0.0,0.000672934269534839,0.0015425331394882506,0.0,0.000621741941726451,5.556243516590252e-06
8,30122,Positive Control,None,"[21, 0, 18, 4]",[19],5135.4035364264855,8.498666236178938,35562.772814285265,0.0,0.0,0.00015976134021790926,0.0,0.00022199628540806472,0.00015063719009532418,0.0003218258233580751,0.00037249132172861475,0.000680699246575642,0.0006781199987520127,0.0009360340109417564,0.0018640135561491082,0.0030398301068445747,0.0020744048278032346,0.003211934203410892,0.0023686805678058867,0.0024186418874915542,0.0019490411237730323,0.005279931995059058,0.00503731699040773,0.01205341039925264,0.0019936072053924167,0.0011822081988171885
9,30122,Positive Control,None,"[21, 0, 18, 4]",[9],4.530199793054843,6.528915171126353,39.23556204563263,0.0,3.8721719544144015e-07,6.639039977842028e-07,5.785417074075291e-07,4.216573251759462e-07,5.868085014204398e-07,8.519265579844153e-07,4.780520127653379e-07,0.0,0.0,0.0,0.0,0.0,4.587259242028669e-06,0.0,0.0,5.742245461957004e-06,7.643080777735212e-06,0.0,2.0646775770212814e-05,0.0,4.2876794196590285e-06,2.784456711981294e-06
